,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills_python,skills_excel,skills_sql,skills_soft,family_siblings,family_income_father,family_income_mother,devices_laptop_brand,devices_laptop_year,devices_phone_brand,devices_phone_year,addr_city,addr_district,addr_postal
10,11,Shawn Baker,19.0,,,+1-986-850-9629,Zhangstad,,,data science,110,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,,,,,Tashkent,North Samantha,100659
11,12,,18.0,female,71.0,,Austinside,annalee@gmail.com,2013-01-14 19:16:00,data science,110,inactive,2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","forward, like",,,,,,,,,,,,Tashkent,Morrismouth,100315
12,13,,19.0,female,90.0,,Lesliefurt,,,data science,110,inactive,4.5,excellent,84.0,,"Frankchester 9-kv, dom 20, Tashkent",,,,,,,,,,,,,Tashkent,Frankchester,
13,14,Thomas Prince,20.0,,,,East Michellestad,aphillips@holland-diaz.org,,python,114,inactive,,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"understand, become",,,,,,,,,,,,Tashkent,Stevensborough,100394
14,15,,21.0,male,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,python,110,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,,,,,,,,,,,,Tashkent,Davidborough,
15,16,Adrian Allen,20.0,female,,,Antoniobury,,,python,110,pending,3.7,excellent,53.0,,"1965 Jacobs Branch Apt. 418, Timburgh","partner, race",4.0,4.0,4.0,"onto, owner",3.0,798.0,626.0,Dell,2019.0,Apple,2022.0,Timburgh,,
16,17,Stephen Lyons,19.0,,76.0,,New Adam,,2009-10-13 02:20:00,data science,110,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"nothing, community",1.0,1.0,5.0,"wear, will",1.0,772.0,498.0,Lenovo,2023.0,Apple,2021.0,Tashkent,Joehaven,100399
17,18,Zachary Lyons,18.0,male,68.0,+1-242-552-5722,Chenport,,2003-09-25 00:00:00,data science,110,inactive,4.5,average,138.0,,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,,,,,,,,,Tashkent,Port Kevin,100106
18,19,,20.0,female,50.0,+1-179-099-6883,West Danaville,,1974-02-20 00:00:00,data science,110,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
19,20,Anthony Hardy,20.0,male,90.0,,Kimport,,1973-05-20 19:05:00,ds,65,pending,4.5,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",5.0,2.0,4.0,"medical, quality",4.0,1220.0,1220.0,Lenovo,2018.0,Apple,2019.0,Tashkent,Masontown,
20,21,Hector Beltran,20.0,male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,data science,110,active,,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
21,22,Tara Nguyen,22.0,,73.0,,Brittanychester,rrodriguez@newman.com,2000-06-04 17:46:54,python,78,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"create, accept",1.0,3.0,1.0,"new, manager",3.0,1140.0,1117.0,Dell,2016.0,Xiaomi,2018.0,Tashkent,Lake Shaneland,100063
22,23,Jessica Robinson,22.0,male,90.0,,Jonesfurt,,2010-05-10 12:48:00,ds,81,inactive,3.7,good,261.0,,"0451 James Cliffs Suite 725, Wagnermouth","type, beautiful",,,,,,,,,,,,Wagnermouth,,
23,24,Latoya Williams,18.0,male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,data science,110,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","step, section",1.0,5.0,3.0,"beat, popular",0.0,1376.0,871.0,Dell,2022.0,Xiaomi,2019.0,Kevinfort,,
24,25,,21.0,,90.0,,Donnaview,urodriguez@ferrell.com,,data science,100,pending,,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",1.0,3.0,2.0,"must, around",0.0,1453.0,206.0,Lenovo,2019.0,Xiaomi,2020.0,North Lisa,,
25,26,,21.0,female,90.0,,Harrisbury,,2022-07-18 17:43:00,ds,96,pending,,good,299.0,,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",3.0,1.0,2.0,"south, his",1.0,623.0,577.0,Dell,2022.0,Apple,2019.0,Tashkent,Lake Crystal,100119
26,27,Emily Cummings,22.0,female,59.0,,East Dariuston,,2023-04-28 18:06:01,python,100,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",3.0,1.0,3.0,"thought, particularly",4.0,303.0,1245.0,Lenovo,2023.0,Samsung,2023.0,Tashkent,South David,100696
27,28,Brandy Powell,20.0,,87.0,,Oconnellburgh,benjamincollins@davis.info,,python,107,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","energy, however",2.0,1.0,3.0,"either, plan",4.0,1105.0,1106.0,Lenovo,2023.0,Samsung,2022.0,,,
28,29,,21.0,male,88.0,,West Rachel,elizabeth49@yahoo.com,,ds,100,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,,,,,,,,,Bridgetton,,
29,30,Jaime Rowe,,female,69.0,,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,data science,64,pending,3.7,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",4.0,5.0,3.0,"reduce, than",4.0,1291.0,913.0,Lenovo,2024.0,Xiaomi,2019.0,Tashkent,Port,
30,31,Brianna Castro,21.0,,90.0,,East Regina,,2007-10-13 09:29:00,data science,110,pending,2.0,average,63.0,,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
31,32,April Johnson,20.0,male,90.0,+1-054-829-3587,Andersontown,daniel21@hotmail.com,2021-11-27 01:13:12,python,110,active,2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",5.0,3.0,3.0,"against, history",4.0,1124.0,1323.0,Dell,2023.0,Apple,2018.0,Tashkent,Christineburgh,100686
32,33,Joyce Franklin,20.0,female,60.0,,South Brittany,,2000-06-29 21:16:26,data science,66,inactive,,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","run, case",4.0,2.0,3.0,"rock, never",4.0,1009.0,1369.0,Dell,2022.0,Xiaomi,2020.0,Tashkent,New,
33,34,,20.0,female,,,Hillmouth,,1983-05-24 00:00:00,data science,67,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"decide, least",5.0,5.0,2.0,"mouth, laugh",4.0,763.0,1393.0,HP,2019.0,Samsung,2020.0,Tashkent,West Michaelport,100883
34,35,,22.0,female,,,North Maryfort,,2008-01-25 20:03:00,data science,110,pending,2.0,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,,,,,,,,,,,,,Tashkent,Lake Donaldton,100652
35,36,,22.0,,87.0,,North Gerald,,2018-11-11 00:00:00,python,110,inactive,,average,202.0,,"North Amy 11-kv, dom 49, Tashkent","stay, even",3.0,5.0,3.0,"generation, group",1.0,219.0,1344.0,Dell,2017.0,Apple,2021.0,Tashkent,North,
36,37,Jeremy Fry,18.0,female,90.0,,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,data science,110,pending,4.5,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","score, bar",,,,,,,,,,,,Tashkent,New Ian,100606
37,38,Christopher Sosa,20.0,male,90.0,,New Aliceland,,2022-08-12 00:00:00,data science,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",3.0,2.0,3.0,"write, alone",2.0,1354.0,448.0,Lenovo,2024.0,Samsung,2020.0,Tashkent,Youngton,100192
38,39,David Duke,20.0,female,,+1-526-677-6949,Harrishaven,baguilar@hotmail.com,2004-09-26 00:00:00,python,110,active,,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,"challenge, trouble",,,,,,,,,,,,Tashkent,Port William,100766
39,40,Sara Page,20.0,female,71.0,,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,python,110,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",3.0,4.0,4.0,"begin, movement",5.0,270.0,255.0,Lenovo,2020.0,Apple,2021.0,Dicksonbury,,
40,41,,19.0,male,,,West Georgefort,,,data science,100,active,,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",1.0,4.0,2.0,"trip, toward",5.0,1364.0,1312.0,HP,2017.0,Xiaomi,2019.0,South Leslie,,
41,42,Mark Smith,,male,90.0,,West Morganchester,,1980-12-09 00:00:00,data science,81,inactive,2.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,,,,,,,,,Tashkent,Port Kristopherberg,100563
42,43,Amanda Myers,19.0,female,90.0,+1-698-115-3243,North Christopherborough,hoganandrew@hotmail.com,2021-06-24 12:05:49,data science,110,pending,2.0,average,140.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"professional, necessary",5.0,4.0,2.0,"recent, tend",1.0,1134.0,1304.0,Dell,2018.0,Apple,2021.0,Tashkent,North Joseph,100515
43,44,Eric George,18.0,male,93.0,,Nathanborough,cynthia47@oneill.com,2022-03-17 10:25:13,python,100,inactive,,good,205.0,2022-06-27 20:25:36,UZ 100297 Tashkent North Candace,"official, begin",,,,,,,,,,,,Tashkent,North Candace,100297
44,45,,20.0,,83.0,,Duncanfort,,2022-12-26 11:07:23,data science,110,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","finish, true",4.0,2.0,2.0,"enter, response",5.0,778.0,355.0,Lenovo,2021.0,Xiaomi,2022.0,Tashkent,Annahaven,
45,46,Brandi Jones,20.0,male,,,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,data science,92,inactive,,,172.0,,"BROKEN,ADDRESS,DATA,,,","raise, let",1.0,5.0,2.0,"tell, compare",3.0,209.0,1191.0,Dell,2016.0,Apple,2021.0,,,
46,47,John Robinson,19.0,,51.0,,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,ds,100,active,,average,166.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"above, even",3.0,2.0,5.0,"minute, view",4.0,1127.0,1111.0,HP,2020.0,Apple,2022.0,Tashkent,East Williamport,100626
47,48,Suzanne Meyer,20.0,male,95.0,,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,data science,110,active,,,144.0,,"6637 Michelle Unions Apt. 959, Erikfort","do, property",3.0,1.0,4.0,"parent, raise",1.0,709.0,1006.0,Dell,2015.0,Apple,2024.0,Erikfort,,
48,49,,18.0,female,90.0,+1-271-809-4741,Lake Michael,ablair@gomez.com,2023-01-02 03:42:09,data science,81,active,2.0,average,225.0,1992-09-19 00:00:00,"00607 Alvarez Circles Suite 553, North Benjamin","wonder, strong",,,,,,,,,,,,North Benjamin,,
49,50,Justin Wong,18.0,female,90.0,,Travisfort,,1970-02-03 13:13:00,data science,110,active,3.7,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",4.0,4.0,3.0,"these, could",3.0,204.0,506.0,Lenovo,2016.0,Samsung,2024.0,Tashkent,East Andrew,100090
50,51,James Davis,20.0,female,61.0,,New Emilyshire,,,data science,100,inactive,3.7,average,132.0,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,"prove, central",,,,,,,,,,,,Tashkent,Lake Amy,100391
51,52,Mitchell Conway,19.0,female,63.0,+1-570-911-9906,Lake Louis,,1994-06-13 04:13:00,ds,100,inactive,2.0,,205.0,2023-01-10 06:52:10,"BROKEN,ADDRESS,DATA,,,","painting, tough",4.0,5.0,2.0,"hour, series",3.0,543.0,1003.0,Dell,2015.0,Apple,2020.0,,,
52,53,,20.0,female,88.0,,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,data science,110,inactive,3.7,average,251.0,,UZ 100232 Tashkent Annabury,"least, question",,,,,,,,,,,,Tashkent,Annabury,100232
53,54,Heather Moreno,19.0,female,83.0,,South Jasmine,woodsanna@wilkinson-glenn.info,2025-07-25 00:00:00,data science,100,pending,,excellent,221.0,,"Christown 6-kv, dom 20, Tashkent","leave, effect",3.0,5.0,5.0,"six, reduce",1.0,581.0,302.0,Dell,2020.0,Apple,2020.0,Tashkent,Christown,
54,55,Todd Moore,21.0,male,,,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,ds,110,inactive,0.0,excellent,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291","save, most",,,,,,,,,,,,Tashkent,West Davidhaven,100291
55,56,,21.0,female,90.0,,Katelynton,dominguezerin@solis.org,2021-09-21 03:28:09,python,100,inactive,4.5,,298.0,,"Apartment 42, South Charles district, Tashkent, UZ, 100904","where, game",4.0,2.0,1.0,"per, detail",1.0,602.0,1380.0,Lenovo,2019.0,Samsung,2022.0,Tashkent,South Charles,100904
56,57,Ashley Lowe,20.0,female,90.0,,Robertshire,zvargas@chapman.org,2025-02-08 09:46:00,ds,100,inactive,,average,236.0,,"87807 Kayla Glens, Autumnmouth",,,,,,,,,,,,,Autumnmouth,,
57,58,Eric Holmes,18.0,male,57.0,+1-421-927-3279,West Tricia,,2001-03-13 12:56:00,ds,80,pending,,excellent,160.0,2020-05-21 00:00:00,"682 Vasquez Expressway Suite 699, West Nicolechester","recognize, between",5.0,2.0,2.0,"image, leg",5.0,1178.0,1209.0,Lenovo,2021.0,Xiaomi,2020.0,West Nicolechester,,
58,59,Nathan Melendez,20.0,female,75.0,+1-267-108-2545,Wheelerport,,1971-06-20 00:00:00,data science,100,active,4.5,average,65.0,1970-09-19 00:00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798","offer, president",,,,,,,,,,,,Tashkent,Laurabury,100798
59,60,Brett Cabrera,20.0,,90.0,,Port Carlos,,2022-07-07 17:07:18,data science,100,active,,excellent,121.0,1972-01-29 00:00:00,"East Elizabethhaven 9-kv, dom 15, Tashkent",,,,,,,,,,,,,Tashkent,East,
60,61,William Moore,20.0,female,93.0,+1-542-835-7188,Port Juanland,,2010-05-07 00:00:00,data science,100,inactive,3.2,average,50.0,1983-06-05 05:46:56,"6258 Gordon Road, Smithshire","painting, kid",1.0,4.0,2.0,"fill, growth",5.0,964.0,1178.0,Lenovo,2017.0,Samsung,2024.0,Smithshire,,
61,62,Margaret Lopez,20.0,male,90.0,,East Caitlinfurt,ogarcia@hahn.net,1980-02-04 04:04:00,python,106,active,4.07,,183.0,2023-09-26 21:00:08,"BROKEN,ADDRESS,DATA,,,","others, one",3.0,5.0,2.0,"enjoy, test",5.0,946.0,741.0,HP,2024.0,Samsung,2018.0,,,
62,63,William Olsen,22.0,female,90.0,,East Sophia,,1995-11-13 00:00:00,data science,100,inactive,3.72,excellent,138.0,1999-04-21 00:00:00,"9057 Griffin Heights, Rasmussenside",,,,,,,,,,,,,Rasmussenside,,
63,64,,19.0,female,90.0,,Christopherborough,,,python,100,active,4.5,good,97.0,,"BROKEN,ADDRESS,DATA,,,","stock, management",3.0,5.0,1.0,"move, bar",3.0,786.0,987.0,HP,2020.0,Samsung,2018.0,,,
64,65,Randall Heath,18.0,male,90.0,,Deleonside,,2022-08-11 18:02:11,python,65,pending,4.5,average,105.0,1985-10-02 00:00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","position, stuff",3.0,4.0,1.0,"two, economy",5.0,527.0,408.0,HP,2021.0,Xiaomi,2023.0,Tashkent,Lutzfort,100220
65,66,,20.0,male,90.0,+1-114-989-5033,North Markbury,nrichard@carney.com,2012-03-29 00:00:00,data science,99,inactive,4.5,average,274.0,2016-12-24 09:42:22,"67890 Conrad Walks, East Tannermouth","shake, behind",3.0,4.0,5.0,"what, happy",5.0,1227.0,564.0,Dell,2017.0,Apple,2019.0,East Tannermouth,,
66,67,Ashley Mills,,female,90.0,,Youngside,,2012-07-27 00:00:00,ds,100,pending,,excellent,276.0,1991-06-04 04:44:47,"BROKEN,ADDRESS,DATA,,,","share, fly",2.0,5.0,3.0,"floor, question",0.0,1427.0,1378.0,Lenovo,2017.0,Xiaomi,2022.0,,,
67,68,John Rosario,18.0,female,82.0,,Belindabury,,1971-07-20 08:45:22,data science,100,inactive,2.0,good,190.0,1990-08-02 14:57:53,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059","result, current",3.0,1.0,4.0,"return, address",5.0,1037.0,1043.0,HP,2021.0,Apple,2022.0,Tashkent,North Adammouth,100059
68,69,,21.0,,,,Jenniferfort,,2021-03-31 07:13:37,data science,109,inactive,,average,209.0,,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
69,70,,18.0,female,66.0,,Lake Josephville,nathaniel54@lloyd.biz,2002-10-31 12:03:00,data science,110,pending,4.5,excellent,88.0,2012-06-13 19:49:00,"Port Lisa 17-kv, dom 46, Tashkent","ahead, force",5.0,1.0,1.0,"where, responsibility",5.0,658.0,561.0,Lenovo,2022.0,Apple,2023.0,Tashkent,Port,
70,71,Robert Hayes,,male,,,Tabithafurt,teresa05@collins.biz,2021-12-02 18:05:32,python,63,pending,,excellent,103.0,1996-09-27 00:00:00,"Benitezmouth 14-kv, dom 38, Tashkent","lead, toward",1.0,2.0,3.0,"through, water",5.0,494.0,1415.0,HP,2018.0,Xiaomi,2019.0,Tashkent,Benitezmouth,
71,72,William Weiss,,female,78.0,+1-336-187-5307,Williamfort,,2022-05-11 09:28:45,data science,100,active,,,57.0,1977-11-15 00:00:00,"313 Ayala Point, East Nicholas",,,,,,,,,,,,,East Nicholas,,
72,73,,18.0,female,90.0,,Smithville,scampbell@mendez.biz,,data science,100,inactive,3.19,good,117.0,2001-05-06 00:00:00,"BROKEN,ADDRESS,DATA,,,","majority, week",,,,,,,,,,,,,,
73,74,Brandi Reed,18.0,male,90.0,,Port Randallberg,stacy11@yahoo.com,1990-09-05 00:00:00,python,89,pending,3.7,excellent,176.0,2013-07-28 22:26:51,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
74,75,,22.0,female,98.0,+1-993-695-0828,East Shelly,lsmith@gmail.com,2023-03-06 03:01:15,data science,100,active,2.71,average,200.0,2006-03-02 10:39:00,"BROKEN,ADDRESS,DATA,,,","dark, exist",5.0,1.0,4.0,"store, position",0.0,294.0,207.0,Lenovo,2021.0,Samsung,2019.0,,,
75,76,Anthony Hendricks,,,,,Figueroamouth,,2000-07-19 00:00:00,data science,110,inactive,,,117.0,2023-04-14 02:02:02,UZ 100760 Tashkent Millermouth,"particular, lead",,,,,,,,,,,,Tashkent,Millermouth,100760
76,77,Alexa Sanders,21.0,male,73.0,+1-347-747-5643,Lake Randymouth,johnsonchelsea@yahoo.com,,data science,100,active,0.0,excellent,256.0,2021-07-18 00:00:00,"034 Cooley Way, East Ian",,,,,,,,,,,,,East Ian,,
77,78,,18.0,male,95.0,,Romeroville,,2017-12-25 12:00:00,python,100,active,4.5,good,217.0,,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,
78,79,Garrett Taylor,20.0,female,,,Martinezfort,,2005-11-18 17:34:28,ds,89,active,0.0,excellent,225.0,1974-11-07 16:09:00,UZ 100510 Tashkent Andrewmouth,,,,,,,,,,,,,Tashkent,Andrewmouth,100510
79,80,Brandy Gray,19.0,male,90.0,,Andrewborough,ballen@barber-saunders.com,,data science,105,active,4.49,average,266.0,2025-07-12 00:00:00,UZ 100622 Tashkent Aarontown,"back, carry",,,,,,,,,,,,Tashkent,Aarontown,100622
80,81,Donna Scott,19.0,female,,,Lake Timfort,alicia71@robles.com,1996-11-30 17:12:35,ds,110,active,2.0,excellent,65.0,2015-03-29 18:51:00,UZ 100720 Tashkent Lake Hollytown,"participant, spring",,,,,,,,,,,,Tashkent,Lake Hollytown,100720
81,82,Karen Baker MD,,female,60.0,,Kristinabury,paul48@brown.com,1974-09-10 00:00:00,data science,110,active,3.7,average,68.0,2022-12-26 17:00:20,UZ 100855 Tashkent Lake Tyler,"garden, possible",1.0,4.0,4.0,"after, similar",4.0,349.0,536.0,Dell,2019.0,Samsung,2022.0,Tashkent,Lake Tyler,100855
82,83,,18.0,female,90.0,,Ayershaven,,1995-04-15 05:21:46,ds,102,inactive,,good,172.0,,"Apartment 18, Tarafurt district, Tashkent, UZ, 100739","actually, commercial",1.0,3.0,5.0,"example, defense",1.0,1111.0,456.0,HP,2023.0,Apple,2023.0,Tashkent,Tarafurt,100739
83,84,Michael Jenkins,18.0,female,68.0,,New Brenda,mcolon@gmail.com,2002-11-25 00:00:00,ds,110,inactive,2.0,average,284.0,2008-04-09 00:00:00,"BROKEN,ADDRESS,DATA,,,","collection, single",4.0,4.0,1.0,"expect, fall",5.0,675.0,1465.0,Dell,2020.0,Apple,2019.0,,,
84,85,,21.0,male,75.0,,New Nicoleside,,1996-10-08 21:47:00,data science,100,inactive,2.0,excellent,95.0,1994-05-31 00:00:00,"33084 Williams Point, Jesusborough","trial, place",,,,,,,,,,,,Jesusborough,,
85,86,Mario Ramirez,22.0,,90.0,,Deannachester,zford@parker.info,2022-04-22 21:23:10,python,110,pending,0.0,,111.0,1984-03-09 07:06:32,"BROKEN,ADDRESS,DATA,,,","buy, now",,,,,,,,,,,,,,
86,87,Kyle Doyle,20.0,female,,,Powersland,,,data science,100,inactive,,,66.0,2016-05-02 00:00:00,"South Jacobview 25-kv, dom 42, Tashkent","example, break",3.0,4.0,3.0,"PM, structure",4.0,491.0,426.0,Lenovo,2024.0,Xiaomi,2018.0,Tashkent,South,
87,88,Hannah Montes,21.0,,,,South Thomas,,2008-07-18 06:10:35,python,68,active,3.81,,110.0,2022-01-30 22:39:47,UZ 100240 Tashkent Charlesshire,"dream, forward",5.0,5.0,2.0,"like, clear",5.0,626.0,1045.0,Dell,2018.0,Apple,2023.0,Tashkent,Charlesshire,100240
88,89,James Weaver,22.0,female,,+1-480-026-9976,West Jonathan,,2000-04-09 11:39:29,python,110,pending,,,149.0,2022-02-19 15:21:07,"Apartment 8, South Christina district, Tashkent, UZ, 100031","anything, catch",1.0,2.0,2.0,"like, how",4.0,503.0,394.0,Dell,2019.0,Apple,2020.0,Tashkent,South Christina,100031
89,90,Johnny Nguyen,20.0,male,,,West Henrymouth,sherrimanning@gmail.com,2004-08-30 00:00:00,python,100,inactive,4.5,excellent,288.0,2003-03-15 05:06:48,"BROKEN,ADDRESS,DATA,,,","water, hot",,,,,,,,,,,,,,
90,91,Barry Cooper,,female,82.0,+1-676-017-8005,Georgeshire,,,python,100,active,2.48,excellent,283.0,1997-11-24 00:00:00,"Apartment 15, North Nicholas district, Tashkent, UZ, 100716",,,,,,,,,,,,,Tashkent,North Nicholas,100716
91,92,Peter Rogers,18.0,female,,,Tonytown,,1971-12-22 21:02:00,python,100,active,4.5,excellent,260.0,,"East Joshuaton 6-kv, dom 44, Tashkent",,,,,,,,,,,,,Tashkent,East,
92,93,Samantha Garcia,20.0,female,,,Port Jeremyburgh,,2023-08-07 14:22:18,data science,89,pending,,excellent,195.0,,"BROKEN,ADDRESS,DATA,,,","doctor, set",,,,,,,,,,,,,,
93,94,,21.0,female,,,West Bryanburgh,,2015-09-14 00:00:00,data science,110,pending,3.72,good,51.0,,"3646 Micheal Place, Port Douglas","fly, me",5.0,1.0,3.0,"ago, per",2.0,1215.0,272.0,HP,2022.0,Xiaomi,2020.0,Port Douglas,,
94,95,,19.0,male,82.0,,Leechester,,2012-11-23 00:00:00,data science,100,pending,4.44,good,144.0,1987-03-21 11:08:51,"BROKEN,ADDRESS,DATA,,,","avoid, consumer",,,,,,,,,,,,,,
