student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json
28,Brandy Powell,20.0,,87.0,404-233-0292-9740,Oconnellburgh,benjamincollins@davis.info,,python,107,inactive,,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
29,,21.0,male,88.0,(521)168-1029-21287,West Rachel,elizabeth49@yahoo.com,,ds,100,inactive,,,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA
30,Jaime Rowe,,female,69.0,046-892-9598-929,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,data science,64,pending,3.7,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}"
31,Brianna Castro,21.0,,90.0,,East Regina,,2007-10-13 09:29:00,data science,110,pending,2.0,average,63.0,,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
32,April Johnson,20.0,male,90.0,0548293587,Andersontown,daniel21@hotmail.com,2021-11-27 01:13:12,python,110,active,2.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}"
33,Joyce Franklin,20.0,female,60.0,618-090-5816-281,South Brittany,,2000-06-29 21:16:26,data science,66,inactive,,excellent,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}"
34,,20.0,female,,,Hillmouth,,1983-05-24 00:00:00,data science,67,active,3.7,excellent,172.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}"
35,,22.0,female,,(356)552-3035-22091,North Maryfort,,2008-01-25 20:03:00,data science,110,pending,2.0,,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA
36,,22.0,,87.0,001-893-021-7782-51647,North Gerald,,2018-11-11 00:00:00,python,110,inactive,,average,202.0,,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
37,Jeremy Fry,18.0,female,90.0,(773)180-2562-2965,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,data science,110,pending,4.5,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}"
38,Christopher Sosa,20.0,male,90.0,001-138-648-1737-665,New Aliceland,,2022-08-12 00:00:00,data science,67,active,,excellent,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}"
39,David Duke,20.0,female,,526-677-6949,Harrishaven,baguilar@hotmail.com,2004-09-26 00:00:00,python,110,active,,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}"
40,Sara Page,20.0,female,71.0,,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,python,110,inactive,,,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
41,,19.0,male,,,West Georgefort,,,data science,100,active,,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}"
42,Mark Smith,,male,90.0,,West Morganchester,,1980-12-09 00:00:00,data science,81,inactive,2.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",INVALID_JSON_DATA
43,Amanda Myers,19.0,female,90.0,6981153243,North Christopherborough,hoganandrew@hotmail.com,2021-06-24 12:05:49,data science,110,pending,2.0,average,140.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"{'hobbies': ['professional', 'necessary'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 2}, 'soft': ['recent', 'tend']}, 'family': {'siblings': 1, 'income': {'father': 1134, 'mother': 1304}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
44,Eric George,18.0,male,93.0,,Nathanborough,cynthia47@oneill.com,2022-03-17 10:25:13,python,100,inactive,,good,205.0,2022-06-27 20:25:36,UZ 100297 Tashkent North Candace,"{hobbies:['official', 'begin']}"
45,,20.0,,83.0,,Duncanfort,,2022-12-26 11:07:23,data science,110,active,0.0,excellent,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","{'hobbies': ['finish', 'true'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 2}, 'soft': ['enter', 'response']}, 'family': {'siblings': 5, 'income': {'father': 778, 'mother': 355}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]}"
46,Brandi Jones,20.0,male,,,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,data science,92,inactive,,,172.0,,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""raise"", ""let""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 2}, ""soft"": [""tell"", ""compare""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 209, ""mother"": 1191}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
47,John Robinson,19.0,,51.0,,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,ds,100,active,,average,166.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"{'hobbies': ['above', 'even'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['minute', 'view']}, 'family': {'siblings': 4, 'income': {'father': 1127, 'mother': 1111}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
48,Suzanne Meyer,20.0,male,95.0,,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,data science,110,active,,,144.0,,"6637 Michelle Unions Apt. 959, Erikfort","{'hobbies': ['do', 'property'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 4}, 'soft': ['parent', 'raise']}, 'family': {'siblings': 1, 'income': {'father': 709, 'mother': 1006}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}"
49,,18.0,female,90.0,+1-271-809-4741,Lake Michael,ablair@gomez.com,2023-01-02 03:42:09,data science,81,active,2.0,average,225.0,1992-09-19 00:00:00,"00607 Alvarez Circles Suite 553, North Benjamin","{hobbies:['wonder', 'strong']}"
50,Justin Wong,18.0,female,90.0,(010)809-9177-1999,Travisfort,,1970-02-03 13:13:00,data science,110,active,3.7,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","{'hobbies': ['decide', 'continue'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 3}, 'soft': ['these', 'could']}, 'family': {'siblings': 3, 'income': {'father': 204, 'mother': 506}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
51,James Davis,20.0,female,61.0,,New Emilyshire,,,data science,100,inactive,3.7,average,132.0,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,"{hobbies:['prove', 'central']}"
52,Mitchell Conway,19.0,female,63.0,5709119906,Lake Louis,,1994-06-13 04:13:00,ds,100,inactive,2.0,,205.0,2023-01-10 06:52:10,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""painting"", ""tough""], ""skills"": {""tech"": {""python"": 4, ""excel"": 5, ""sql"": 2}, ""soft"": [""hour"", ""series""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 543, ""mother"": 1003}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2015}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
53,,20.0,female,88.0,(780)869-1118-5301,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,data science,110,inactive,3.7,average,251.0,,UZ 100232 Tashkent Annabury,"{hobbies:['least', 'question']}"
54,Heather Moreno,19.0,female,83.0,438-917-8289-05514,South Jasmine,woodsanna@wilkinson-glenn.info,2025-07-25 00:00:00,data science,100,pending,,excellent,221.0,,"Christown 6-kv, dom 20, Tashkent","{""hobbies"": [""leave"", ""effect""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 5}, ""soft"": [""six"", ""reduce""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 581, ""mother"": 302}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}"
55,Todd Moore,21.0,male,,+1-517-494-2230-14006,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,ds,110,inactive,0.0,excellent,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291","{hobbies:['save', 'most']}"
56,,21.0,female,90.0,,Katelynton,dominguezerin@solis.org,2021-09-21 03:28:09,python,100,inactive,4.5,,298.0,,"Apartment 42, South Charles district, Tashkent, UZ, 100904","{'hobbies': ['where', 'game'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 1}, 'soft': ['per', 'detail']}, 'family': {'siblings': 1, 'income': {'father': 602, 'mother': 1380}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
57,Ashley Lowe,20.0,female,90.0,+1-501-690-0671-5583,Robertshire,zvargas@chapman.org,2025-02-08 09:46:00,ds,100,inactive,,average,236.0,,"87807 Kayla Glens, Autumnmouth",INVALID_JSON_DATA
58,Eric Holmes,18.0,male,57.0,+1-421-927-3279,West Tricia,,2001-03-13 12:56:00,ds,80,pending,,excellent,160.0,2020-05-21 00:00:00,"682 Vasquez Expressway Suite 699, West Nicolechester","{'hobbies': ['recognize', 'between'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 2}, 'soft': ['image', 'leg']}, 'family': {'siblings': 5, 'income': {'father': 1178, 'mother': 1209}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
59,Nathan Melendez,20.0,female,75.0,(267)108-2545,Wheelerport,,1971-06-20 00:00:00,data science,100,active,4.5,average,65.0,1970-09-19 00:00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798","{hobbies:['offer', 'president']}"
60,Brett Cabrera,20.0,,90.0,,Port Carlos,,2022-07-07 17:07:18,data science,100,active,,excellent,121.0,1972-01-29 00:00:00,"East Elizabethhaven 9-kv, dom 15, Tashkent",INVALID_JSON_DATA
61,William Moore,20.0,female,93.0,542-835-7188,Port Juanland,,2010-05-07 00:00:00,data science,100,inactive,3.2,average,50.0,1983-06-05 05:46:56,"6258 Gordon Road, Smithshire","{'hobbies': ['painting', 'kid'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 2}, 'soft': ['fill', 'growth']}, 'family': {'siblings': 5, 'income': {'father': 964, 'mother': 1178}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
62,Margaret Lopez,20.0,male,90.0,518-984-8100-51067,East Caitlinfurt,ogarcia@hahn.net,1980-02-04 04:04:00,python,106,active,4.07,,183.0,2023-09-26 21:00:08,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['others', 'one'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 2}, 'soft': ['enjoy', 'test']}, 'family': {'siblings': 5, 'income': {'father': 946, 'mother': 741}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2018}]}"
63,William Olsen,22.0,female,90.0,+1-207-589-1183-975,East Sophia,,1995-11-13 00:00:00,data science,100,inactive,3.72,excellent,138.0,1999-04-21 00:00:00,"9057 Griffin Heights, Rasmussenside",INVALID_JSON_DATA
64,,19.0,female,90.0,,Christopherborough,,,python,100,active,4.5,good,97.0,,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""stock"", ""management""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 1}, ""soft"": [""move"", ""bar""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 786, ""mother"": 987}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2018}]}"
65,Randall Heath,18.0,male,90.0,346-373-6033-101,Deleonside,,2022-08-11 18:02:11,python,65,pending,4.5,average,105.0,1985-10-02 00:00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","{""hobbies"": [""position"", ""stuff""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 1}, ""soft"": [""two"", ""economy""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 527, ""mother"": 408}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}"
